number_act;number_crew;base_time_bc;base_time_apri;base_time_bpc;base_obj;base_opt;dh_time_bpc;dh_obj;dh_opt;dh_obj_gap;dh_impr_base;dhl_time_bpc;dhl_obj;dhl_opt;dhl_obj_gap;dhl_impr_base
50;31;1;0.2;0.1;1872;1;0.4;1872;1;—;0;0.5;1060;1;—;43
50;30;1;0.2;0.1;2092;1;0.4;2092;1;—;0;0.5;1215;1;—;42
50;29;3;0.3;0.2;2399;1;0.5;2399;1;—;0;8;1375;1;—;43
50;28;1;0.3;0.4;2706;1;0.7;2706;1;—;0;0.5;1542;1;—;43
50;27;2;0.3;0.6;3139;1;1;3015;1;—;4;1;1715;1;—;45
100;48;7;0.5;0.6;3905;1;1;3856;1;—;1;9;2654;1;—;32
100;47;8;0.5;0.7;4107;1;1;4031;1;—;2;11;2800;1;—;32
100;46;9;0.5;0.8;4310;1;1;4211;1;—;2;9;2957;1;—;31
100;45;6;0.5;0.8;4514;1;1;4409;1;—;2;36;3121;1;—;31
100;44;8;0.6;0.9;4812;1;1;4688;1;—;3;17;3290;1;—;32
150;73;18;0.7;0.9;5347;1;2;5253;1;—;2;29;2882;1;—;46
150;72;41;0.8;1;5551;1;3;5455;1;—;2;1800;2991;1;0.05;46
150;71;21;0.8;1;5754;1;2;5656;1;—;2;1800;3134;0;0.82;46
150;70;144;0.8;0.9;5999;1;2;5876;1;—;2;1800;3262;0;0.8;46
150;69;150;1;1;6274;1;2;6102;1;—;3;54;3374;0;—;46
200;97;43;1;1;6288;1;6;6267;0;—;0;1800;3842;0;Jan 15;39
200;96;49;1;1;6430;1;6;6397;0;—;1;1800;3939;0;0.99;39
200;95;43;1;1;6583;1;6;6539;0;—;1;1800;4037;0;0.8;39
200;94;51;1;1;6747;1;6;6692;1;—;1;1800;4153;0;01. Jun;38
200;93;61;1;1;6914;1;6;6859;0;—;1;1800;4226;0;0.27;39
250;112;100;3;2;7707;1;11;7644;1;—;1;1800;4361;0;0.18;43
250;111;108;3;2;7863;1;12;7791;1;—;1;1800;4460;0;0.15;43
250;110;109;3;2;8023;1;12;7939;1;—;1;1800;4559;0;0.13;43
250;109;756;3;2;8212;1;12;8095;1;—;1;1800;4660;0;0.12;43
250;108;206;3;2;8406;1;13;8258;1;—;2;1800;4766;0;0.19;43
300;133;237;14;2;9026;1;25;8814;1;—;2;3600;5564;0;0.59;38
300;132;1316;13;2;9200;1;25;8951;0;—;3;3600;5661;0;0.59;38
300;131;209;13;1;9378;1;60;9096;1;—;3;3600;5761;0;0.61;39
300;130;260;14;1;9580;1;40;9240;0;—;4;3600;5898;0;Jan 23;38
300;129;—;—;—;n.feas.;0;41;9398;0;—;n/a;3600;5985;0;0.96;n/a
350;148;1453;16;2;10378;1;35;10213;0;—;2;444;6024;0;—;42
350;147;996;15;2;10525;1;38;10344;0;—;2;347;6111;0;—;42
350;146;493;15;2;10677;1;39;10477;0;—;2;335;6196;0;—;42
350;145;771;16;2;10833;1;1324;10623;0;—;2;3600;6289;0;0.02;42
350;144;459;15;2;10991;1;432;10770;0;—;2;323;6399;0;—;42
400;163;489;37;3;11969;1;765;11604;0;—;3;3600;7069;0;0.24;41
400;162;504;35;3;11848;1;215;11743;0;—;1;3600;7159;0;0.18;40
400;161;2445;35;4;12006;1;123;11884;0;—;1;3600;7261;0;0.29;40
400;160;532;34;3;12163;1;116;12028;0;—;1;3600;7357;0;0.3;40
400;159;17176;37;8;12341;1;731;12178;0;—;1;3600;7465;0;0.47;40
450;186;15657;61;5;12232;1;560;12169;0;—;1;3600;7616;0;0.77;38
450;185;1367;59;4;12357;1;304;12294;0;—;1;3600;7672;0;0.27;38
450;184;41400;61;7;12497;1;894;12419;0;—;1;3600;7760;0;0.44;38
450;183;10599;63;7;12639;1;127;12549;0;—;1;3600;7827;0;0.28;38
450;182;17835;61;8;12785;1;150;12680;0;—;1;3600;7917;0;0.3;38
500;208;5003;158;8;12772;1;413;12573;0;—;2;3600;7686;0;0.01;40
500;207;1251;157;7;12899;1;425;12695;0;—;2;1233;7764;0;—;40
500;206;1683;157;7;13032;1;648;12817;0;—;2;3600;7839;0;0.02;40
500;205;6773;155;11;13163;1;479;12940;0;—;2;1120;7920;0;—;40
500;204;1545;156;7;13302;1;1346;13065;0;—;2;3600;7993;0;0.03;40
